	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
53446	1	FR	73	BY	392062	2	3	201952	7361	1381
53447	1	FR	73	BY	392092	2	3	201952	22055	4922
53448	1	FR	73	BY	392099	2	3	201952	19377	2944
53449	1	FR	73	BY	392111	1	3	201952	343	39
53450	1	FR	73	BY	392112	2	3	201952	18544	13524
53451	1	FR	73	BY	392113	2	1	201952	23331	1087
53452	1	FR	73	BY	392113	2	3	201952	17880	762
53453	1	FR	73	BY	392119	2	3	201952	36605	8271
53454	1	FR	73	BY	392190	1	3	201952	180	198
53455	1	FR	73	BY	392190	2	3	201952	29838	17232
53456	1	FR	73	BY	392210	2	3	201952	6859	1211
53457	1	FR	73	BY	392220	2	3	201952	243	11
53458	1	FR	73	BY	392290	2	3	201952	116	10
53459	1	FR	73	BY	392310	1	4	201952	185	46
53460	1	FR	73	BY	392310	2	3	201952	89	67
53461	1	FR	73	BY	392310	2	4	201952	278	105
53462	1	FR	73	BY	392321	2	3	201952	78	3
53463	1	FR	73	BY	392321	2	4	201952	4	0
53464	1	FR	73	BY	392329	2	3	201952	10791	660
53465	1	FR	73	BY	392330	1	3	201952	47445	8175
53466	1	FR	73	BY	392330	2	3	201952	5343	734
53467	1	FR	73	BY	392350	2	3	201952	10776	1015
53468	1	FR	73	BY	392350	2	4	201952	4	2
53469	1	FR	73	BY	392390	2	3	201952	1984	252
53470	1	FR	73	BY	392390	2	4	201952	202	1
53471	1	FR	73	BY	392410	2	1	201952	2537	162
53472	1	FR	73	BY	392410	2	3	201952	2308	334
53473	1	FR	73	BY	392410	2	4	201952	31	0
53474	1	FR	73	BY	392490	2	3	201952	18582	716
53475	1	FR	73	BY	392510	1	3	201952	21670	4563
53476	1	FR	73	BY	392510	2	3	201952	21535	9155
53477	1	FR	73	BY	392520	1	3	201952	8971	1584
53478	1	FR	73	BY	392590	1	3	201952	978	498
53479	1	FR	73	BY	392610	2	3	201952	52290	7151
53480	1	FR	73	BY	392620	2	3	201952	929	12
53481	1	FR	73	BY	392630	1	4	201952	14720	55
53482	1	FR	73	BY	392630	2	3	201952	299	9
53483	1	FR	73	BY	392630	2	4	201952	1978	2
53484	1	FR	73	BY	392640	2	1	201952	306	5
53485	1	FR	73	BY	392690	1	3	201952	16014	465
53486	1	FR	73	BY	392690	1	4	201952	11461	135
53487	1	FR	73	BY	392690	2	1	201952	66	2
53488	1	FR	73	BY	392690	2	3	201952	89778	2177
53489	1	FR	73	BY	392690	2	4	201952	19001	402
53490	1	FR	73	BY	39SSS5	2	3	201952	527575	82834
53491	1	FR	73	BY	39SSS5	2	4	201952	6149	408
53492	1	FR	73	BY	400520	2	3	201952	2872	949
53493	1	FR	73	BY	400690	2	3	201952	210	25
53494	1	FR	73	BY	400821	1	3	201952	22922	20925
53495	1	FR	73	BY	400829	2	4	201952	1264	2
53496	1	FR	73	BY	400911	2	3	201952	5322	111
53497	1	FR	73	BY	400921	1	3	201952	83970	14588
53498	1	FR	73	BY	400921	2	3	201952	3600	63
53499	1	FR	73	BY	400922	2	4	201952	773	31
53500	1	FR	73	BY	400931	2	3	201952	10	20
53501	1	FR	73	BY	400941	2	3	201952	3483	108
53502	1	FR	73	BY	400942	2	3	201952	16471	164
53503	1	FR	73	BY	401012	2	3	201952	554	35
53504	1	FR	73	BY	401019	2	3	201952	47	3
53505	1	FR	73	BY	401031	2	3	201952	47570	1573
53506	1	FR	73	BY	401032	2	3	201952	94	6
53507	1	FR	73	BY	401033	2	3	201952	6289	229
53508	1	FR	73	BY	401035	2	3	201952	23739	769
53509	1	FR	73	BY	401039	2	3	201952	21521	414
53510	1	FR	73	BY	401170	2	3	201952	201	17
53511	1	FR	73	BY	401490	2	3	201952	35	0
53512	1	FR	73	BY	401519	2	3	201952	14173	1378
53513	1	FR	73	BY	401691	2	3	201952	3710	436
53514	1	FR	73	BY	401692	2	3	201952	5358	656
53515	1	FR	73	BY	401693	1	4	201952	272	6
53516	1	FR	73	BY	401693	2	3	201952	104603	3801
53517	1	FR	73	BY	401693	2	4	201952	30905	48
53518	1	FR	73	BY	401699	2	1	201952	430	41
53519	1	FR	73	BY	401699	2	3	201952	737991	48957
53520	1	FR	73	BY	401699	2	4	201952	6	0
